Email,Received,Customer,Tier,Contact,Contact email,RFQ number,Quote ref,Request,Respond by,Delivery,Line,Part number,Rev,Description,Material,Finish,Size,Quantities,Annual usage,Export control,Export control found in,Requirements,Files,Missing info,Check,Lane,Estimator,Priority,Quote by
E20,11:48,Ferrovia Robotics,B,Alicia Moreno,amoreno@ferroviarobotics.com,,,new RFQ,,,2,FR-3102,B,"COVER, DRIVE ENCLOSURE",ALUMINUM 6061-T6 PER AMS-QQ-A-250/11,"CHEM FILM PER MIL-DTL-5541 TYPE II CLASS 3, CLEAR",,,2000,,,"12-month blanket pricing, released monthly","FR-3101.pdf (drawing, text layer); FR-3102.pdf (drawing, scan, OCR 89%); FR-3103.pdf (drawing, text layer)",,,,,,
E20,11:48,Ferrovia Robotics,B,Alicia Moreno,amoreno@ferroviarobotics.com,,,new RFQ,,,3,FR-3103,A,"COVER, POWER DISTRIBUTION ENCLOSURE",ALUMINUM 6061-T6 PER AMS-QQ-A-250/11,"CHEM FILM PER MIL-DTL-5541 TYPE II CLASS 3, CLEAR",,,2000,,,"12-month blanket pricing, released monthly","FR-3101.pdf (drawing, text layer); FR-3102.pdf (drawing, scan, OCR 89%); FR-3103.pdf (drawing, text layer)",,,,,,
E22,12:03,Oxbow Packaging Machinery,,Declan Foyle,dfoyle@oxbowpackaging.com,,,new RFQ,2026-09-25,"We need them this week: tomorrow if your shop runs Saturdays, Monday morning at the absolute latest.",1,OPM-22817,B,"BLOCK, KNIFE HOLDER","STEEL, AISI 4140 PRE-HARDENED, 28-32 HRC","BLACK OXIDE PER MIL-DTL-13924 CLASS 1, OIL DIP",,4,,,,"If the black oxide slows you down, leave them bare and oiled and we'll deal with it later; We'll pay expedite and overtime","OPM-22817_RevB_photo.jpg (drawing, photo, OCR 83%)",,,,,,
E26,12:20,Pinecrest Vacuum Technologies,,Caleb Mercer,cmercer@pinecrestvac.com,,,new RFQ,,,1,PV-5580,B,316L gauge manifold block,316L stainless,Passivate per ASTM A967,about 4.0 x 2.5 x 2.0,25 / 60,,,,precision clean for high vacuum and double bag; EN 10204 3.1 material certs required,,,"Drawings are behind a link, not attached: https://share.pinecrestvac.com/s/rfq-pv5580-revb",,,,
E32,12:45,Kestrel Fluid Controls,,Nora Castellanos,ncastellanos@kestrelfluid.com,RFQ-26-0931,,new RFQ,2026-10-09,,1,KF-3408,B,"MANIFOLD, PILOT VALVE, 4-STATION",ALUMINUM 6061-T6511 PER ASTM B221,"HARD ANODIZE PER MIL-A-8625 TYPE III CLASS 1, .002 THK. MASK PORT THREADS.",,25 / 75 / 150,,,,"MATERIAL CERTS AND C OF C REQUIRED WITH EACH SHIPMENT; FIRST ARTICLE INSPECTION REPORT ON FIRST LOT (AS9102 FORMAT ACCEPTABLE); PLUG AND CAP ALL PORTS FOR SHIPMENT. PRESSURE TEST PERFORMED BY KESTREL; QUOTE LEAD TIME IN WEEKS ARO FOR EACH QUANTITY BREAK; Please quote each break on the form and show any NRE or first article charges as their own line; If you can't quote this one, a quick no-bid reply is appreciated so I can close out the package","RFQ-26-0931.pdf (RFQ form, scan, OCR 93%); KF-3408_RevB.pdf (drawing, text layer); KF-3408_RevB.step (3D model, STEP header); KF-3412_RevA.pdf (drawing, text layer)",,,,,,
E32,12:45,Kestrel Fluid Controls,,Nora Castellanos,ncastellanos@kestrelfluid.com,RFQ-26-0931,,new RFQ,2026-10-09,,2,KF-3412,A,"END PLATE, PILOT MANIFOLD",ALUMINUM 6061-T651 PER ASTM B209,"HARD ANODIZE PER MIL-A-8625 TYPE III CLASS 1, .002 THK",,50 / 150 / 300,,,,"MATERIAL CERTS AND C OF C REQUIRED WITH EACH SHIPMENT; FIRST ARTICLE INSPECTION REPORT ON FIRST LOT (AS9102 FORMAT ACCEPTABLE); PLUG AND CAP ALL PORTS FOR SHIPMENT. PRESSURE TEST PERFORMED BY KESTREL; QUOTE LEAD TIME IN WEEKS ARO FOR EACH QUANTITY BREAK; Please quote each break on the form and show any NRE or first article charges as their own line; If you can't quote this one, a quick no-bid reply is appreciated so I can close out the package","RFQ-26-0931.pdf (RFQ form, scan, OCR 93%); KF-3408_RevB.pdf (drawing, text layer); KF-3408_RevB.step (3D model, STEP header); KF-3412_RevA.pdf (drawing, text layer)",,,,,,
E52,14:10,Ashgrove Instruments,,Ada Lindgren,alindgren@ashgroveinst.com,,,new RFQ,,We'd like parts by mid November.,1,AGI-3052,A,"COVER PLATE, SENSOR ENCLOSURE","STAINLESS STEEL 316L PER ASTM A240, ANNEALED",PASSIVATE PER ASTM A967 NITRIC 2,7 x 5 x .375 thick,12,,CUI,"AGI-3052_RevA.pdf, export legend (OCR 81%)",,"AGI-3052_RevA.pdf (drawing, fax, OCR 81%)",,"CUI marking found only in AGI-3052_RevA.pdf, export legend (OCR 81%); the email does not mention it",,,,
E56,14:25,Brightwater Medical,A,Amara Nwosu,anwosu@brightwatermed.com,RFQ-26-0317,,new RFQ,2026-10-15,,1,BWM-3140-08,A,"CAGE, LUMBAR INTERBODY, TLIF, 8 MM","PEEK, IMPLANT GRADE, PER ASTM F2026. MARKERS: TANTALUM PER ASTM F560",NONE,,50 / 150 / 300,,,,"ISO 13485:2016 CERTIFIED SUPPLIER REQUIRED; MATERIAL CERTS WITH TRACEABILITY TO RESIN LOT AND BAR LOT; FIRST ARTICLE INSPECTION REPORT, 3 PCS PER DASH NUMBER; CLEAN, DOUBLE BAG, AND LABEL PER BWM-QS-0412. NO STERILIZATION BY SUPPLIER; OPTION B: QUOTE WITH BRIGHTWATER-FURNISHED PEEK BAR, SHOW MATERIAL SAVINGS AS A SEPARATE LINE","RFQ-26-0317.pdf (RFQ form, scan, OCR 91%); BWM-3140_RevA.pdf (drawing, text layer); BWM-3140_RevA.step (3D model, STEP header)",,,,,,
E56,14:25,Brightwater Medical,A,Amara Nwosu,anwosu@brightwatermed.com,RFQ-26-0317,,new RFQ,2026-10-15,,2,BWM-3140-10,A,"CAGE, LUMBAR INTERBODY, TLIF, 10 MM","PEEK, IMPLANT GRADE, PER ASTM F2026. MARKERS: TANTALUM PER ASTM F560",NONE,,75 / 200 / 400,,,,"ISO 13485:2016 CERTIFIED SUPPLIER REQUIRED; MATERIAL CERTS WITH TRACEABILITY TO RESIN LOT AND BAR LOT; FIRST ARTICLE INSPECTION REPORT, 3 PCS PER DASH NUMBER; CLEAN, DOUBLE BAG, AND LABEL PER BWM-QS-0412. NO STERILIZATION BY SUPPLIER; OPTION B: QUOTE WITH BRIGHTWATER-FURNISHED PEEK BAR, SHOW MATERIAL SAVINGS AS A SEPARATE LINE","RFQ-26-0317.pdf (RFQ form, scan, OCR 91%); BWM-3140_RevA.pdf (drawing, text layer); BWM-3140_RevA.step (3D model, STEP header)",,,,,,
E56,14:25,Brightwater Medical,A,Amara Nwosu,anwosu@brightwatermed.com,RFQ-26-0317,,new RFQ,2026-10-15,,3,BWM-3140-12,A,"CAGE, LUMBAR INTERBODY, TLIF, 12 MM","PEEK, IMPLANT GRADE, PER ASTM F2026. MARKERS: TANTALUM PER ASTM F560",NONE,,50 / 150 / 300,,,,"ISO 13485:2016 CERTIFIED SUPPLIER REQUIRED; MATERIAL CERTS WITH TRACEABILITY TO RESIN LOT AND BAR LOT; FIRST ARTICLE INSPECTION REPORT, 3 PCS PER DASH NUMBER; CLEAN, DOUBLE BAG, AND LABEL PER BWM-QS-0412. NO STERILIZATION BY SUPPLIER; OPTION B: QUOTE WITH BRIGHTWATER-FURNISHED PEEK BAR, SHOW MATERIAL SAVINGS AS A SEPARATE LINE","RFQ-26-0317.pdf (RFQ form, scan, OCR 91%); BWM-3140_RevA.pdf (drawing, text layer); BWM-3140_RevA.step (3D model, STEP header)",,,,,,
E61,14:47,Corvane Industries,,Martin Achebe,machebe@corvane-ind.com,26-0914,,new RFQ,2026-10-13,We'd need first parts about 6 weeks after order.,1,CI-10442,C,"HOUSING, DRIVE ELECTRONICS",ALUMINUM 6061-T6511 PER ASTM B221,"ELECTROLESS NICKEL PER AMS 2404 CLASS 1, .0003-.0005 THK",,20 / 50 / 100,,ITAR,"CI-10442_RevC.pdf, export legend (OCR 88%)",Please break out setup and first article charges; include material certs and a C of C with shipment,"CI-10442_RevC.pdf (drawing, scan, OCR 88%); CI-10442_RevC.step (3D model, STEP header)",,"ITAR marking found only in CI-10442_RevC.pdf, export legend (OCR 88%); the email does not mention it",,,,
E62,14:52,Brightwater Medical,A,Duncan Mireles,dmireles@brightwatermed.com,RFQ-26-0318,,new RFQ,2026-10-15,REQUIRED DELIVERY: 8 WEEKS ARO,1,BWM-3105,A,"PIN, PIVOT, JAW","STAINLESS STEEL 17-4 PH PER ASTM A564, CONDITION H1025",PASSIVATE PER ASTM A967 NITRIC 2,,250 / 500 / 1000,,,,"ISO 13485 CERTIFIED SUPPLIER; MATERIAL CERTS TRACEABLE TO HEAT OR LOT; FIRST ARTICLE INSPECTION REPORT, 5 PCS PER LINE, ON FIRST LOT; PARTS CLEANED AND DOUBLE BAGGED. NO SILICONE-BASED LUBRICANTS; REQUIRED DELIVERY: 8 WEEKS ARO","RFQ-26-0318.pdf (RFQ form, copier, OCR 82%); BWM-3105_RevA.pdf (drawing, text layer); BWM-3106_RevA.pdf (drawing, text layer)",,,,,,
E62,14:52,Brightwater Medical,A,Duncan Mireles,dmireles@brightwatermed.com,RFQ-26-0318,,new RFQ,2026-10-15,REQUIRED DELIVERY: 8 WEEKS ARO,2,BWM-3106,A,"SPACER, JAW PIVOT","PEEK, UNFILLED, NATURAL, EXTRUDED ROD, USP CLASS VI",NONE,,250 / 500 / 1000,,,,"ISO 13485 CERTIFIED SUPPLIER; MATERIAL CERTS TRACEABLE TO HEAT OR LOT; FIRST ARTICLE INSPECTION REPORT, 5 PCS PER LINE, ON FIRST LOT; PARTS CLEANED AND DOUBLE BAGGED. NO SILICONE-BASED LUBRICANTS; REQUIRED DELIVERY: 8 WEEKS ARO","RFQ-26-0318.pdf (RFQ form, copier, OCR 82%); BWM-3105_RevA.pdf (drawing, text layer); BWM-3106_RevA.pdf (drawing, text layer)",,,,,,
E71,15:32,Lucerne Optomechanics,,Felix Durand,fdurand@lucerneopto.com,,,new RFQ,2026-10-12,,1,LO-1186,A,"MOUNT, FOLD MIRROR, COMPOUND ANGLE",ALUMINUM 6061-T651 PLATE PER AMS 4027,"BLACK ANODIZE PER MIL-A-8625 TYPE II CLASS 2. MASK PADS, BORES, AND DATUM A",,8,,,,"C of C and material certs, nothing fancier","LO-1186_RevA_screenshot.png (drawing, screenshot, OCR 91%)",,,,,,
E72,15:38,Wexcombe Systems,,Trent Haverford,thaverford@wexcombesys.com,WS-26-0388,,new RFQ,2026-10-12,,1,WS-4471,B,"SHAFT, OUTPUT",STAINLESS STEEL 17-4 PH COND H1150 PER AMS 5643,PASSIVATE PER AMS 2700 METHOD 1 AFTER ALL MACHINING,,25 / 100 / 250,,ITAR,"WS-RFQ-26-0388.pdf, export legend (OCR 95%)",MATERIAL CERTS AND C OF C REQUIRED WITH EACH SHIPMENT; FIRST ARTICLE INSPECTION REPORT (AS9102) ON FIRST LOT; QUOTE LEAD TIME IN WEEKS ARO FOR EACH QUANTITY BREAK; INDIVIDUALLY BAG PARTS. PROTECT JOURNALS FROM CONTACT,"WS-RFQ-26-0388.pdf (RFQ form, scan, OCR 95%); WS-4471_RevB.pdf (drawing, text layer)",,"ITAR marking found only in WS-RFQ-26-0388.pdf, export legend (OCR 95%); the email does not mention it",,,,
